Company Name,Annual Revenue (US$ m)
Napp Pharmaceuticals Ltd,195.9009
G.L. Pharma GmbH,194.8
Midatech Ltd,190.1832
Almus Pharmaceuticals Ltd,186.7395
Nexus AG,185.7547
IVF Hartmann Holding AG,184.2504
Amryt Pharma Plc,182.607
Vitabiotics Ltd,178.8261
Porvair Plc,172.3178
Biocompatibles UK Ltd,166.6886
Alliance Pharma Plc,166.4756
LGC Ltd,162.3578
Cowealth Medical Holdings Co Ltd,160.3821
Grindeks AS,158.3269
Atnahs Pharma UK Ltd,157.4726
GHP Specialty Care AB,154.7306
Parexel International Ltd,147.6626
Lupin Atlantis Holdings SA,141.9314
Alloga UK Ltd,140.626
Clinica Baviera SA,139.7921
Olainfarm AS,139.2579
Antares Vision S.r.l.,138.0599
Medartis AG,132.8259
Zentiva SA,131.6349
Eczacibasi Ilac Sinai ve Finansal Yatirmlar Sanayi Ve Ticaret AS,129.6371
LNT Group,127.108
Valneva SE,125.7649
Basilea Pharmaceutica Ltd,119.7858
Gowrie Laxmico Ltd,117.6382
Simbec-Orion Group Ltd,116.3066
Atlantic Healthcare Plc,114.0921
EMC Instytut Medyczny SA,113.3232
Oxford BioMedica Plc,112.5151
Ergomed Plc,110.8003
IASO SA,110.5917
Owen Mumford Ltd,109.6981
Centrum Medyczne Enel Med SA,102.6534
Allergy Therapeutics Plc,99.8137
Amplitude Surgical SA,98.8424
W.O.M.  World of Medicine GmbH,94.0518
Animalcare Group Plc,90.4117
Marken Ltd,90.4095
Chugai Pharma Europe Ltd,90.2883
Bristol Laboratories Ltd,90.149
Laleham Health And Beauty Ltd,89.6764
EUSA Pharma (UK) Ltd,89.3975
MedCap AB,88.8304
BBI Group Holding Ltd,85.1463
Eisai Ltd,83.3221
Ferring Pharmaceuticals Ltd,83.1297
Cellectis SA,82.456
Quotient Sciences Ltd,82.364
BioGaia AB,81.1881
Britannia Pharmaceuticals Ltd,81.1777
Antibiotice SA,80.3134
Feelgood Svenska AB,78.692
Innovis Pharma SA,78.3678
Probi AB,77.9375
Dedalus France SA,76.6708
Idorsia Pharmaceutical Ltd,76.4603
Jazz Pharmaceuticals UK Ltd,75.7593
Horizon Discovery Group Ltd,74.353
The Technology Partnership Plc,72.7202
Rosemont Pharmaceuticals Ltd,72.637
University of Cumbria,72.3369
Orexo AB,72.1163
PharmaSGP Holding SE,72.0999
DocCheck AG,71.9339
Theravance Biopharma Inc,71.857
Raysearch Laboratories AB,70.8135
Williams Medical Supplies Ltd,69.6448
Labomar SpA,69.6072
Cosmo Pharmaceuticals NV,69.4813
Vitruvian Partners LLP,67.795
Grifols UK Ltd,65.0796
SourceBio International Plc,65.0725
Sinclair Pharma Ltd,64.8954
Crescent Pharma Ltd,64.5691
Innate Pharma SA,64.0162
Galen Ltd,63.6167
Kimal plc,62.1025
EuroEyes International Eye Clinic Ltd,61.0921
Gesundheitswelt Chiemgau AG,60.2399
Myovant Sciences Ltd,59.317
Enervit SpA,59.0933
Norgine Pharmaceuticals Ltd,57.8029
Premier Research Group Ltd,57.7774
Bioton SA,56.9461
Pukka Herbs Ltd,56.8839
Durbin Plc,56.5369
Sterling Pharma Solutions Ltd,56.444
Ashfield Healthcare Ltd,56.41
Curevac NV,55.7125
Provepharm life Solutions SA,54.7211
Olink Proteomics AB,54.067
Zealand Pharma AS,54.0393
Performance Health International Ltd,53.1283
Eukedos SpA,51.7693
Biofarm SA,51.058
Kent Pharmaceuticals Ltd,50.5376
Gyrus Medical Ltd,50.1471
Food Standards Agency,49.6466
Biocartis Group NV,49.1655
London Care Ltd,48.4398
EDAP TMS SA,47.4943
Mitsubishi Tanabe Pharma Europe Ltd,47.4943
Malin Corporation Plc,46.7396
Evotec (UK) Ltd,45.5253
Alere Toxicology Plc,45.2195
Bluefish Pharmaceuticals AB,45.0369
Biotechnology Research And Information Network AG,43.7349
Lavipharm SA,42.907
Argenx SE,42.8979
System C Healthcare Ltd,42.7339
Heptares Therapeutics Ltd,41.9526
Eifelhoehen Clinic AG,40.4429
Robinson Brothers Ltd,40.1496
Krasfarma,39.7589
Formycon AG,39.4861
Numark Ltd,39.3828
SANOCHEMIA Pharmazeutika GmbH,38.848
Immunocore Holdings Plc,38.6225
Biosynex SA,38.3231
Neogen Europe Ltd,37.8146
Vanguard Healthcare Solutions Ltd,37.7396
UniQure NV,37.514
Pulsion Medical Systems SE,36.5452
Camurus AB,36.5143
Instem Plc,36.1896
Primevigilance Ltd,35.9485
Tessella Ltd,35.8918
Cell and Gene Therapy Catapult,35.7718
Celon Pharma SA,35.7589
Immatics NV,35.6281
ID Business Solutions Ltd,35.3945
Biofrontera AG,34.5942
ClinTec International Ltd,33.813
L&R Medical UK Ltd,33.5502
Sygnature Discovery Ltd,33.3661
Kowa Pharmaceutical Europe Co Ltd,32.4462
Affimed NV,32.3301
ChemoMetec AS,32.1073
OncoArendi Therapeutics SA,31.565
Circassia Group Plc,30.6528
G.R. Lane Health Products Ltd,30.0675
Merus NV,29.943
Biosearch SA,29.4562
Albumedix Ltd,29.426
Oncodesign SA,29.078
University College London Hospitals NHS Foundation Trust,28.137
Vegenat SA,27.9885
Springer Healthcare Ltd,27.8723
Photocure ASA,27.2534
Vistin Pharma AS,26.9003
Open Orphan Plc,26.423
Hill-Rom Ltd,26.3755
Hammersmith Medicines Research Ltd,25.5402
Pharm-Olam International (UK) Ltd,25.0982
Symphogen A/S,25.0609
F-star Biotechnology Ltd,24.9373
hameln Pharmaceuticals Ltd,24.7706
Servier Laboratories Ltd,24.6817
Quanticate Ltd,24.3745
Csam Health Group AS,24.3401
Tchaikapharma Inc,23.5416
Replek Farm Ltd,23.3506
Edinburgh Innovations Ltd,23.105
Richmond Pharmacology Ltd,22.8992
Vita 34 AG,22.8785
Nattopharma ASA,22.7891
Paion AG,22.4066
Avadel Pharmaceuticals Plc,22.334
Navamedic ASA,22.3012
Oasmia Pharmaceutical AB,21.9352
Cmed Group Ltd,21.2252
Phlexglobal Ltd,20.9328
Pierrel SpA,20.4389
Intrapharm Laboratories Ltd,20.4274
Carbosynth Ltd,20.4088
Cystic Fibrosis Trust,20.2275
Kiadis Pharma NV,19.9498
Xvivo Perfusion AB,19.5463
Quay Pharmaceuticals Ltd,19.483
Custom Pharmaceuticals Ltd,19.2264
Bio-Rad AbD Serotec Ltd,19.1847
Friulchem SpA,19.0003
Esperite NV,18.6618
Nexam Chemical AB,18.0406
Sequani Ltd,17.7245
Medicon Hellas SA,17.4036
Biocatalysts Ltd,17.1682
AC Immune SA,16.4422
JEOL (UK) Ltd,16.4012
Diaceutics Plc,16.2832
Medicines Discovery Catapult Ltd,16.1629
BioInvent International AB,16.0156
Santhera Pharmaceuticals Holding AG,15.9915
PeproTech EC Ltd,15.807
Sedana Medical AB,15.4068
Lysogene SAS,15.2405
Polyphor Ltd,15.2132
Cobra Biologics Ltd,15.1394
Human Stem Cells Institute,15
Doctor Care Anywhere Group PLC,14.8429
The Medicines Evaluation Unit Ltd,14.7909
NicOx SA,14.7139
Bioforce (U.K) Ltd,14.6682
UCL Business PLC,14.2208
Shield Therapeutics Plc,13.3218
Bioventix PLC,13.1635
Central Pharma Contract Packing Ltd,12.8935
Xograph Healthcare Ltd,12.6424
Titian Software Ltd,12.64
genOway SA,12.5578
Soho Flordis UK Ltd,12.4329
Hanovia Ltd,12.2945
Babylon Healthcare Services Ltd,12.1845
IXICO Plc,12.1659
Enzymatica AB,12.0895
Lupin Healthcare (UK) Ltd,12.0773
OSE Immunotherapeutics,11.8924
TheraDiag SA,11.8711
Alium Medical Ltd,11.8603
MW Encap Ltd,11.7377
Sharp Clinical Services (UK) Ltd,11.6332
Exscientia Ltd,11.6242
Teagasc,11.3996
Surgical Science Sweden AB,11.389
DBV Technologies SA,11.276
ProQR Therapeutics NV,10.7752
Sarossa plc,10.7179
Transgene SA,10.6509
Onyx Scientific Ltd,10.5523
HumanOptics AG,10.4769
Bicycle Therapeutics Plc,10.39
Nexcape Pharmaceuticals Ltd,10.3696
BIOMED Wytwornia Surowic i Szczepionek Sp zoo,10.3109
Mithra Pharmaceuticals SA,10.2941
IntegraGen SA,10.2367
Axonics Women's Health Limited,10.0695
Eurofins Selcia Limited,10.0172
MediGene AG,9.9738
Molecular Partners AG,9.9563
ArcticZymes Technologies ASA,9.9298
Norda ASA,9.545
Heidelberg Pharma AG,9.5028
Cambridge Cognition Ltd,9.481
Nanoco Technologies Ltd,9.4677
KoLinPharma SpA,9.3521
MedinCell SA,9.332
Stentys SA,9.3103
Marinomed Biotech AG,9.2617
SMO UK Ltd,8.8743
Genfit SA,8.844
Cambridge Cognition Holdings Plc,8.6456
Perspectum Group Ltd,8.61
Selvita SA,8.3087
BicycleTx Limited,8.2751
Biohit Oyj,8.1202
Oneview Healthcare PLC,8.0962
Latvijas Juras medicinas centrs AS,8.0722
Diurnal Group Plc,8.0574
3M Health Care Ltd,8.0263
Ascendis Pharma AS,7.9264
Bluelinea SA,7.781
Poxel SA,7.7588
Deallus Consulting Ltd,7.6411
Sepha Ltd,7.5343
Mauna Kea Technologies SAS,7.4396
Hofseth Biocare ASA,7.3586
Redx Pharma Plc,7.2559
Life Sciences Hub Wales Ltd,7.2339
Co.don AG,7.1056
Silence Therapeutics Plc,7.0271
NTNU Technology Transfer AS,6.8629
EMMAC Life Sciences Ltd,6.8019
BioArctic AB,6.7755
Genovis AB,6.6324
Sarah Cannon Research Institute UK Ltd,6.4675
Proteome Sciences Plc,6.0959
Newron Pharmaceuticals SpA,5.9941
Crescendo Biologics Ltd,5.9761
BenevolentAI Ltd,5.9238
Voluntis SA,5.9154
Collagen Solutions Ltd,5.7502
OBG Pharmaceuticals Ltd,5.6595
Moberg Pharma AB,5.4868
Philogen SpA,5.4469
Fusion Antibodies Plc,5.3418
Nabriva Therapeutics Plc,5.027
GenSight Biologics SA,5.0091
Cambridge Enterprise Ltd,5.0073
Nanoco Group Plc,4.9215
Vaccitech plc,4.8203
Pangaea Oncology SA,4.6734
Avacta Group Plc,4.6633
DXS International Plc,4.6246
L M Manufacturing Ltd,4.4664
Egetis Therapeutics AB,4.4189
Etropal Ad,4.3466
Kuros Biosciences AG,4.3037
ERYTECH Pharma SA,4.2385
Addex Therapeutics Ltd,4.1333
Isofol Medical AB,4.0339
Ryvu Therapeutics SA,4.0184
Adaptimmune Therapeutics Plc,3.958
Adaptimmune Ltd,3.9413
International Medical Center of Biomaterials Processing and Cryostorage,3.8654
LAVA Therapeutics NV,3.632
Valbiotis SAS,3.5249
Oxford Genetics Ltd,3.4259
Cambian Group Limited,3.2321
Gyroscope Therapeutics Holdings Ltd,2.966
Bioorganic Research and Services SA,2.878
Oxford BioTherapeutics Ltd,2.7856
Biotika AS,2.7841
S2Medical AB,2.7838
Monica Healthcare Ltd,2.6709
Juvenescence UK Ltd,2.6
Orchard Therapeutics Plc,2.595
4SC AG,2.5673
Pharmena SA,2.5504
WellTek Inc,2.541
Pixium Vision SA,2.3844
Oxurion NV,2.3689
Advicenne SA,2.3507
NextPharma Technologies Holding Ltd,2.2975
Serstech AB,2.2265
Kontigo Care AB,2.2146
Arctic Bioscience AS,2.178
Onxeo SA,2.0246
Metrion Biosciences Ltd,2.0219
Iconovo AB,1.9335
Sprint Bioscience AB,1.835
William Harvey Research Ltd,1.8177
AB Science SA,1.8046
Benevolentai Cambridge Ltd,1.7755
Autolus Therapeutics Plc,1.715
Expres2ion Biotechnologies ApS,1.6587
Momina Krepost AD,1.6321
Medivir AB,1.5158
Almac Discovery Ltd,1.4535
Plant Advanced Technologies SA,1.4319
Quantum Genomics SA,1.3719
Genedrive Plc,1.3516
Brighter AB,1.3352
Mediqon Group AG,1.2287
Bone Therapeutics SA,1.14
Sequana Medical NV,1.0981
Softox Solutions AS,1.0455
Read-Gene,1.0398
Adocia SAS,0.9587
Aptorum Group Ltd,0.9115
Saniona AB,0.8909
Prothena Corp Plc,0.853
Nanoform Finland Plc,0.7829
PCI Biotech Holding ASA,0.7829
Mymetics Corp,0.7615
Summit (Oxford) Ltd,0.7435
Active Biotech AB,0.7308
CRISPR Therapeutics AG,0.719
Slottsviken Fastighetsaktiebolag,0.7
4D Pharma Plc,0.6849
Hansa Biopharma AB,0.6627
4basebio UK Societas,0.5925
Oxford Biodynamics Plc,0.582
SpectraCure AB,0.5545
Intervacc AB,0.5195
NetScientific Plc,0.5053
Fluicell AB,0.5037
Alligator Bioscience AB,0.473
Provexis plc,0.4441
Midatech Pharma Plc,0.4399
Inventiva SA,0.4241
e-Therapeutics Plc,0.4066
Micropos Medical AB,0.4025
Corline Biomedical AB,0.4017
NextCell Pharma AB,0.3772
Deinove SAS,0.3682
Promore Pharma AB,0.3602
ReNeuron Group Plc,0.3296
ProAxsis Ltd,0.3265
Karolinska Development AB,0.2881
Pharnext SA,0.283
Nuformix Plc,0.2508
Evgen Pharma Plc,0.2488
Medesis Pharma SA,0.228
Biovica International AB,0.2257
Acacia Pharma Group PLC,0.211
Hyloris Pharmaceuticals SA,0.1995
Inivata Ltd,0.1635
Immupharma Plc,0.1625
Pharmacolog i Uppsala AB,0.1505
Pure Biologics SA,0.1469
Clinical Laserthermia Systems AB,0.1448
Double Bond Pharmaceutical International AB,0.126
Calliditas Therapeutics AB,0.095
Sopharma Buildings ADSITS Sofia,0.0869
Circa Group ASA,0.0863
Pulmagen Therapeutics LLP,0.0853
4basebio AG,0.0787
Lipidor AB,0.0674
Targovax ASA,0.0663
BerGenBio ASA,0.0639
Sareum Holdings Plc,0.0602
Nanobiotix SA,0.057
CytoTools AG,0.041
Lidds AB,0.0375
Diamyd Medical AB,0.0361
Abliva AB,0.0235
ObsEva SA,0.017
ChemOvation Ltd,0.0111
Tanvex BioPharma Inc,0.0102
Kancera AB,0.0098
Celyad Oncology SA,0.0057
InDex Pharmaceuticals Holding AB,0.0038
BMP Pharma Trading AG,0.0014
Abera Bioscience AB,
ABIONYX Pharma SA,
Abivax SA,
Achilles Therapeutics UK Ltd,
AcuCort AB,
ADC Therapeutics SA,
AGC Biologics SpA,
Aktogen Ltd,
Allarity Therapeutics A/S,
AlzeCure Pharma AB,
Alzinova AB,
Amniotics AB,
Annexin Pharmaceuticals AB,
Antikor Biopharma Ltd,
Aptahem AB,
Aqilion AB,
Asarina Pharma AB,
Ascelia Pharma AB,
ASIT Biotech SA,
Atai Life Sciences BV,
Auris Medical Holding Ltd,
AUVA Rehabilitation Center Meidling,
BBSr Bioactive Bone Substitutes Oyj,
Bioactive Bone Substitutes Plc,
Biophytis SA,
Blueberry Therapeutics Ltd,
C4X Discovery Holdings Plc,
Cantargia AB,
Cassiopea SpA,
Centessa Pharmaceuticals Plc,
Cereno Scientific AB,
CombiGene AB,
Compass Pathways Plc,
Congenica Ltd,
Crossject SA,
Cyxone AB,
Destiny Pharma Plc,
Deutsche Biotech Innovativ AG,
DexTech Medical AB,
Dynacure SAS,
Eindhoven University of Technology,
Eli Lilly Italia SpA,
Esteve Pharmaceuticals SA,
Evaxion Biotech ApS,
Faron Pharmaceuticals Oy,
FluoGuide AS,
Forward Pharma AS,
Freeline Therapeutics??Holdings Plc,
Futura Medical Plc,
Gabather AB,
Galecto Inc,
GeNeuro SA,
GenKyoTex SA,
Genticel SA,
GH Research PLC,
Hamlet Pharma AB,
Herantis Pharma Plc,
Immunic Inc,
Immunicum AB,
Infant Bacterial Therapeutics AB,
InflaRx NV,
IRLAB Therapeutics AB,
Iterum Therapeutics Plc,
Klaria Pharma Holding AB,
Lytix Biopharma AS,
Mabion SA,
Marienkrankenhaus Kassel gGmbh,
Mereo Biopharma Group Plc,
Mertiva AB,
N4 Pharma Plc,
Nightstar Therapeutics PLC (Inactive),
Nordic Nanovector ASA,
Noxxon Pharma AG,
NuCana Plc,
OKYO Pharma Ltd,
Oncopeptides AB,
Orphazyme A/S,
Oryzon Genomics SA,
Ovoca Bio Plc,
Oxford Vacmedix UK Ltd,
Pharvaris BV,
Pherecydes Pharma SA,
Redwood Pharma AB,
Relief Therapeutics Holding AG,
Replimune Ltd,
SC Health Corp,
Scancell Holdings Plc,
SelectImmune Pharma AB,
Sensorion SA,
Stayble Therapeutics AB,
Stealth BioTherapeutics Corp,
SynAct Pharma AB,
Synairgen Plc,
Theranexus SAS,
Tiziana Life Sciences Plc,
Ultimovacs AS,
Urovant Sciences Inc,
ValiRx Plc,
VectivBio Holding AG,
Verona Pharma Plc,
Vivoryon Therapeutics NV,
WntResearch AB,
Xbrane Biopharma AB,
Xintela AB,
Xspray Pharma AB,
Ziccum AB,
Hybrigenics SA,-0.0001
#NAME?,
1 A Pharma GmbH,
1 Military Clinical Hospital in Lublin,
10 Military Clinical Hospital Spzoz,
109 Military Hospital of the Outpatient Clinic,
10th Military Research Hospital and Polyclinic,
14M Genomics Ltd,
14th Central Regional Polyclinic Of The Partisan District Of Minsk,
1717 Life Science Ventures GmbH,
19th Central District Polyclinic of Pervomaisky District of Minsk,
1abtik AG,
1st Central Regional Clinical Polyclinic of the Central District of Minsk,
1st Health District of ATTICA,
2-BBB Medicines BV,
20MED Therapeutics BV,
28 North Discovery Ltd,
28th Regional Polyclinic of Minsk,
29 Mayis State Hospital,
2A Pharma AB,
2A Pharma ApS,
"2B BlackBio, S.L. (Inactive)",
2bind GmbH,
2Bio Ltd,
2BScientific Ltd,
2Care,
2care4 ApS,
2cureX ApS,
2E Science,
2El SRO,
2KMM Sp Zoo,
300Microns Gmbh,
360 Genomics Ltd,
3B Pharmaceuticals GmbH,
3C Health,
3ClinicalResearch AG,
3D Clinical Research Ltd,
3D Health Research SL,
3D Molecular Sciences (Inactive),
3D-PharmXchange BV,
3DDD Pharma NV,
3F Sro Mikrochirurgia Oka,
3H Biomedical AB,
3M (Switzerland) GmbH,
3M Deutschland GmbH,
3M ESPE AG,
3P Biopharmaceuticals SL,
3R Pharma Consulting GmbH,
3S - Pharmacological Consultation & Research Gmbh,
3T Research Kft,
3Z ehf,
4-Front Research Ltd (Inactive),
417 NIMITS Hospital,
424 General Military Training Hospital,
4base lab GmbH,
4Clinics,
4Clinics Belgium Sprl,
4D Biomedical,
4D Pharma Cork Ltd,
4D Pharma Research Ltd,
4D Science GmbH,
4doctors,
4HF Biotec GmbH,
4M Medical Center,
4P-Pharma SAS,
4Pharma Ltd,
4SC Discovery GmbH (Inactive),
4Tech Cardio Ireland Ltd,
4TEEN4 Pharmaceuticals GmbH,
4th City Polyclinic of Minsk,
4th Military Clinical Hospital Independent Public Health Care,
4ways Healthcare Ltd,
5 Military Clinical Hospital Spzoz,
5 PRIME GmbH,
5 Sante SAS,
53 Biologics,
5th City Clinical Polyclinic of Minsk,
7 Navy Hospital and Outpatient Clinic Spzoz,
73100 Setenta e Tres Mil e Cem Lda,
7TM Pharma A/S,
8Pm Chemist Ltd,
A Clinic,
A Heart for Milan Foundation,
A Menarini Manufacturing Logistics And Services Srl,
a V.I. Pharma International SA,
A&A Biotechnology SA,
A&D Pharma Holdings NV,
A&M Labor fur Analytik und Metabolismusforschung Service GmbH,
A+ Science AB,
A-Mansia Biotech SA,
A-med GmbH,
A-pharma sro,
A-Shine Sro,
A-SKIN Nederland BV,
A-Viral ASA,
A. Carlsson Research AB,
A. Landolfi Hospital,
A. Manzoni Hospital,
A. Menarini AG,
A. Menarini Diagnostics France SARL,
A. Menarini Farmaceutica Internazionale Srl,
A. Menarini Pharma GmbH,
A. Menarini Pharma UK Srl (Inactive),
A. P. Moeller Foundation,
A.C. Schmidt A/S,
A.F. United SpA,
A.M.I. GmbH,
A.N.Bach Institute of Biochemistry RAS,
A.O District hospital Lienz,
A.O.U. City of Health and Science of Turin,
A.P. Moller Foundation,
A.P.E. Research Srl,
A.R.I.V. Onlus,
A.S.L. 1 Umbria - Citta di Castello,
A.S.L. TO4,
A.T. Resolve SARL,
A.Vogel BV,
A.W.P. Srl,
A/O Bayer,
A/s Gea Farmaceutisk Fabrik (Inactive),
A/S Max Jenne Medicinalvarer En Gros,
A2M Pharma GmbH,
a:head Bio AG,
AAA-Pharma GmbH,
Aabenraa Hospital,
Aachen Resonance GmbH,
Aagaard Fertility Clinic,
Aage and Johanne Louis-Hansens Foundation,
Aage Bang Foundation,
Aage Bangs Fond,
AAI Deutschland GmbH & Co KG,
AAI Scientific Cultural Services Ltd,
AAIOncology,
AAIR Charity,
Aalborg University,
Aalborg University Hospital,
Aalesund Hospital,
Aalst Eye Institute,
Aalto Bio Reagents Ltd,
Aalto University School of Science and Technology,
Aamu Pediatric Cancer Foundation,
Aarau Cantonal Hospital,
Aarelab AG,
Aarhus County,
Aarhus University,
Aarhus University Hospital,
Aarhus University Research Foundation,
Aarne Koskelo Foundation,
Aarogyam (UK) CIC,
AAS 5 Friuli Occidentale,
Aase and Ejnar Danielsens Fund,
Aaston Healthcare GmbH,
AAVantgarde Bio Srl,
Aayogyam UK,
AB Analitica srl,
AB Biotechnology Ltd,
AB Biotek Ltd,
AB Cernelle,
AB Enzymes Oy,
AB-Biotics SA,
AB2 Bio Ltd,
Ababor Pharmaceuticals SL,
ABAC Therapeutics SA,
Abacus Medicine A/S,
Abakus Medico doo,
Abalos Therapeutics GmbH,
Abamed Pharma SL,
Abant Izzet Baysal University,
Abanta Pharma GmbH,
Abar SpA,
Abarceo Pharma AB,
Abat Oliba CEU University,
Abaxy Sprl,
Abaxys Therapeutics SA,
ABBA Therapeutics AG,
Abbell AB,
Abbey Pharmaceuticals Ltd (Inactive),
Abbeyfield Belfast Society Ltd,
ABBIA Clinic Sro,
Abbots Cross Medical Practice,
Abbott AG,
Abbott Biologicals BV,
Abbott GmbH & Co KG,
Abbott Healthcare Products BV,
Abbott Healthcare Products Ltd,
Abbott Laboratories GmbH,
Abbott Laboratories LLC,
Abbott Laboratories Ltd,
Abbott Laboratories SA,
Abbott Laboratories SRO,
Abbott Medical Optics Norden AB,
Abbott Norge AS,
Abbott Products GmbH,
Abbott Products Operations AG,
Abbott Products SA (Inactive),
Abbott Products SAS,
Abbott Products SpA (Inactive),
Abbott Scandinavia AB,
Abbott Srl,
Abbott Vascular Deutschland GmbH,
Abbott Vascular International BVBA,
Abboxia AB,
AbbVie (Gibraltar) Holdings Ltd,
AbbVie (Gibraltar) Holdings Ltd Luxembourg SCS,
AbbVie (Gibraltar) Ltd,
AbbVie A/S,
AbbVie AB,
AbbVie AG,
AbbVie AS,
AbbVie Australasia Holdings Ltd,
AbbVie Biopharmaceuticals,
AbbVie Biotechnology GmbH,
AbbVie BV,
AbbVie Deutschland GmbH & Co KG,
AbbVie doo,
AbbVie GmbH,
AbbVie Holdings SAS,
AbbVie Holdings sro,
AbbVie International SaRL,
AbbVie Investment Kft,
AbbVie Investments Ltd,
AbbVie Investments SaRL,
AbbVie Ireland NL BV,
AbbVie Japan Holdings BV,
AbbVie Kft,
AbbVie Komplementar GmbH,
AbbVie Lda,
AbbVie LLC,
AbbVie Logistics BV,
Abbvie Ltd,
AbbVie Ltd (Cyprus),
AbbVie Ltd (Jersey),
AbbVie Manufacturing Management Ltd,
AbbVie Nederland Holdings BV,
AbbVie Overseas SaRL,
AbbVie Oy,
Teva Pharmaceutical Industries Ltd,16659
Rede D'Or Sao Luiz,2723.2051
Aspen Pharmacare Holdings Ltd,2331.7146
Notre Dame Intermedica Participacoes SA,2071.7551
Life Healthcare Group Holdings Ltd,1758.6056
Dr. Sulaiman Al Habib Medical Group,1563.1363
NMC Health Plc,1536
Diagnosticos da America SA,1366.3828
Netcare Ltd,1305.3418
Hypera SA,793.6781
Fleury SA,576.8112
Taro Pharmaceutical Industries Ltd,548.97
Dimed SA,547.2087
Astra Industrial Group,546.1149
Al Mouwasat Medical Services Company,545.3563
Adcock Ingram Holdings Ltd,472.6795
Ascendis Health Ltd,448.5118
AfroCentric Investment Corp Ltd,446.1955
Stellenbosch University,428.4956
Saudi Pharmaceutical Industries & Medical Appliances Corp,415.8716
La Positiva Seguros y Reaseguros S.A.A.,351.5645
University of Johannesburg,332.0515
Ilex Medical Ltd,275.572
Clinica Las Condes SA,268.0527
Blau Farmaceutica SA,229.3963
Gan Shmuel Foods Ltd.,190.485
Sothema,178.9448
Gulf Pharmaceutical Industries PSC,158.2573
Minapharm Pharmaceuticals & Chemical Industries,149.588
Kamada Pharmaceuticals,133.246
Medicare Group QSC,131.8717
Laboratorios Richmond SACIF,87.6132
South Egypt Drug Industries Co,77.9709
Rekah Pharmaceutical Industry Ltd,77.296
Dar Al Dawa Development & Investment Co Ltd,74.9677
RedHill Biopharma Ltd,64.359
Protalix BioTherapeutics Inc,62.898
Alexandria Co. For Pharmaceuticals & Chemical Industries,61.0434
Ste Promotion Pharmaceutique du Maghreb??SA,60.9323
Kahira Pharmaceuticals & Chemical Industries Company,60.1866
GlaxoSmithKline Consumer Nigeria PLC,56.3112
Cipla Quality Chemical Industries Ltd,52.4079
The Nile Co for Pharm and Chemical Ind,48.3989
Fidson Healthcare Plc,48.327
Nortec Quimica SA,44.48
Itamar Medical Ltd,41.034
Jerusalem Pharmaceutical Co Ltd,36.3983
Societe Adwya SA,35.1618
Unite De Fabrication De Medicaments Sa,32.7747
Baumer SA,31.6342
Memphis Pharmaceutical & Chemicals,29.1928
May & Baker Nigeria PLC,24.8306
Hayat Pharmaceutical Industries,23.3856
Brainsway Ltd,22.057
MediWound Ltd,21.763
Al Bilad Medical Services Co,19.0601
InterCure Ltd,18.9358
Applisonix Ltd.,14.345
Alexandria Medical Services Company,14.2804
Jordanian Pharmaceutical Manufacturing Co PLC,14.0722
Nozha International Hospital,13.75
Soprocal Calerias e Industrias SA,12.1544
UroGen Pharma Ltd,11.799
Biomm SA,11.3879
Philadelphia Pharmaceuticals,10.7973
Sol-Gel Technologies Ltd,8.771
Instituto Rosenbusch SA,7.9179
Neimeth International Pharmaceuticals Plc,7.8977
Indies Pharma Jamaica Ltd,5.8027
InsuLine Medical Ltd,2.932
Allium Medical Solutions Ltd,2.8298
Compugen Ltd,2
Nutritional Growth Solutions Ltd,1.87
Evogene Ltd,1.04
Purple Biotech Ltd,1
MedTech Holdings Ltd,0.9452
Vascular Biogenics Ltd,0.922
Can-Fite BioPharma Ltd,0.763
Entera Bio Ltd,0.365
Medigus Ltd,0.273
Glycominds Ltd.,0.143
Topspin Medical Inc.,0.142
Micromedic Technologies Ltd,0.0556
Bio-Cell Ltd,0.0297
Pluristem Therapeutics Inc,0.023
Bio Blast Pharma Ltd,
BioLineRx Ltd,
BiomX Inc,
BiondVax Pharmaceuticals Ltd,
Bonus BioGroup Ltd,
Chemomab Therapeutics Ltd,
Galmed Pharmaceuticals Ltd,
Gamida Cell Ltd,
Hadasit Bio-Holdings Ltd,
Innocan Pharma Corp,
Intec Pharma Ltd,
Kadimastem Ltd,
Kiniksa Pharmaceuticals Ltd,
NextGen Biomed Ltd,
OWC Pharmaceutical Research Corp,
PainReform Ltd,
PolyPid Ltd,
Rosetta Green Ltd,
SciSparc Ltd,
Tikcro Technologies Ltd,
Wavelength Pharmaceuticals,
Wize Pharma Inc,
XTL Biopharmaceuticals Ltd,
1E Therapeutics,
3 Med Health Institute,
3M South Africa Pty Ltd,
A Z Institute of Research and Education,
A.B. Orthopedic Rehabilitation Ltd,
A.C.Camargo Cancer Center,
A2i Therapeutics Ltd,
Abacus Pharma (A) Ltd,
Abadan University of Medical Sciences,
Abarbanel Mental Health Center,
ABASE,
Abathon Institute of Medicine and Health,
Abbasia Fever Hospital,
Abbass Helmy Charity,
Abbott Laboratories Argentina SA,
Abbott Laboratories South Africa (Pty) Ltd.,
Abbott Laboratorios do Brasil Ltda,
Abbott Medical Laboratories Ltd,
Abbott South Africa (Pty) Ltd,
AbbVie (Pty) Ltd,
AbbVie Bahamas Ltd,
AbbVie Biopharmaceuticals Ltd,
AbbVie Biotechnology Ltd,
